pid,artist,location,label,medium,_date,object_type,current_location,description,curatorial_notes,source,order,layout,collection,thumbnail,full,manifest
obj1,Steve Gonyea,Onondaga Nation,america1777,Acrylic paint,2005,painting,,"Steve's allegorical painting is a commentary on and companion to the once well-known national icon, ""The Murder of Jane McCrae,"" painted by John Vanderlyn in 1804. Her killing in 1777 was one of the events (along with the so-called Wyoming Valley and Cherry Valley massacres of 1778) that created an atmosphere in which the Sullivan-Clinton Campaign against Iroquoia was launched in 1779.",,,1,gallery_item,,,,
obj10,Alan Michelson,online,Indian Time 1,"Acrylic watches, faces printed with Peter Rindisbacher imagery, birch log, logo label",1996,watches,," An installation consisting of a display of contemporary acrylic watches printed with imagery taken from the work of Swiss pioneer artist Peter Rindisbacher. Their design and production, including the ""Chippewatch"" logo, was the artist's contribution to the 1996 Swiss Institute exhibition Red River Crossings: Contemporary Native American Artists Respond to Peter Rindisbacher (1806-1834).",,,10,gallery_item,,,,
obj100,,,Wyoming Massacre,photo,6/8/06,photo,,"The most common historical image (19th century) of the killings of July 3, 1778 in the Wyoming Valley. Today, the Pennsyl- vania Historical and Museum Commission holds there was a bloody defeat, but no general massacre afterwards.","The pretext and 1/2 of the build-up, march and launch of Sullivan/Clinton all happened in Pennsylvania.",,100,gallery_item,,,,
obj101,,,Immediate Retaliation,photo,6/8/06,photo,,"In September 1778, Col. Thomas Hartley led over 200 troops against the region's Haudeno- saunee and Delware villages, to avenge the July defeat and bloody aftermath in the Wyoming Valley.","The pretext and 1/2 of the build-up, march and launch of Sullivan/Clinton all happened in Pennsylvania.",,101,gallery_item,,,,
obj102,,,Hartley's Revenge,photo,6/8/06,photo,,American Col. Hartley's Expedition is remember -ed by this 1929 plaque for having burned Teoga and Queen Esther's Town. It was another turn in a brutal cycle of reciprocal violence against Settler and Indian villages on the Wild East frontier.,"The pretext and 1/2 of the build-up, march and launch of Sullivan/Clinton all happened in Pennsylvania.",,102,gallery_item,,,,
obj103,,,Once A Crossroads,photo,6/8/06,photo,,"Markers on Rt, 220 note where Indian villages of Teoga & Queen Esther's Town stood before September 1791 and Hartley's Expedition burned them out.","The pretext and 1/2 of the build-up, march and launch of Sullivan/Clinton all happened in Pennsylvania.",,103,gallery_item,,,,
obj104,,,The Setting,photo,4/30/06,photo,,"The Fenimore Museum sits on Lake Otsego as it flows (at you) into the Susquehanna River. In 1779, these waters bore Clinton's flotilla to join Sullivan at Iroquoia's edge. With Indians gone, Lake Otsego became J.F. Cooper's ""Glimmerglass,"" and today it ports Baseball's Hall of Fame.","Searing visions of Sullivan/Clinton by Haudenosaunee Artists at the 5th Iroquois Biennial Art Exhibition, curated by Peter Jemison, at the Fenimore Museum in Cooperstown, NY (ended 12/31/05)",,104,gallery_item,,,,
obj105,,,Back to the Present,photo,4/30/06,photo,,"The Fenimore Museum, with courage, is the responsible host of present-day Haudeno- saunee renderings and responses - in painting, sculpture, ceramics and video - to the Sullivan/ Clinton Campaign. (Courtesy of The Fenimore Museum)","Searing visions of Sullivan/Clinton by Haudenosaunee Artists at the 5th Iroquois Biennial Art Exhibition, curated by Peter Jemison, at the Fenimore Museum in Cooperstown, NY (ended 12/31/05)",,105,gallery_item,,,,
obj106,,,Across the Threshold,photo,4/30/06,photo,,"In the exhibit space, visitors will encounter an interactive map, where children and parents can sit & learn about Sullivan/Clinton, and/or go straight on to encounter the compelling images throughout...","Searing visions of Sullivan/Clinton by Haudenosaunee Artists at the 5th Iroquois Biennial Art Exhibition, curated by Peter Jemison, at the Fenimore Museum in Cooperstown, NY (ended 12/31/05)",,106,gallery_item,,,,
obj107,,,From the 5th Iroquois Biennial,photo,4/30/06,photo,,From the 5th Iroquois Biennial,"Searing visions of Sullivan/Clinton by Haudenosaunee Artists at the 5th Iroquois Biennial Art Exhibition, curated by Peter Jemison, at the Fenimore Museum in Cooperstown, NY (ended 12/31/05)",,107,gallery_item,,,,
obj108,,,Indians Have Always Paid the Price,photo,4/30/06,photo,,Detail of a larger work by Peter Jemison (Seneca). (See the Audio Visual page for the full image)(Courtesy of Peter Jemison),"Searing visions of Sullivan/Clinton by Haudenosaunee Artists at the 5th Iroquois Biennial Art Exhibition, curated by Peter Jemison, at the Fenimore Museum in Cooperstown, NY (ended 12/31/05)",,108,gallery_item,,,,
obj109,,,From the 5th Iroquois Biennial,photo,4/30/06,photo,,From the 5th Iroquois Biennial,"Searing visions of Sullivan/Clinton by Haudenosaunee Artists at the 5th Iroquois Biennial Art Exhibition, curated by Peter Jemison, at the Fenimore Museum in Cooperstown, NY (ended 12/31/05)",,109,gallery_item,,,,
obj11,Alan Michelson,online,Indian Time 2,"Acrylic watches, faces printed with Peter Rindisbacher imagery, birch log, logo label",1996,watches,," An installation consisting of a display of contemporary acrylic watches printed with imagery taken from the work of Swiss pioneer artist Peter Rindisbacher. Their design and production, including the ""Chippewatch"" logo, was the artist's contribution to the 1996 Swiss Institute exhibition Red River Crossings: Contemporary Native American Artists Respond to Peter Rindisbacher (1806-1834).",,,11,gallery_item,,,,
obj110,,,East Wall 1,photo,4/30/06,photo,,"Frontal view of the east wall of the exhibition, with introductory text and two paintings by, the curator and painter, Peter Jemison. (Courtesy of The Fenimore Museum)","Searing visions of Sullivan/Clinton by Haudenosaunee Artists at the 5th Iroquois Biennial Art Exhibition, curated by Peter Jemison, at the Fenimore Museum in Cooperstown, NY (ended 12/31/05)",,110,gallery_item,,,,
obj111,,,East Wall 2,photo,4/30/06,photo,,"Rear view of the west wall of the exhibition, with installation by Tom Huff, and introductory text and works by Peter Jemison. (Courtesy of The Fenimore Museum)","Searing visions of Sullivan/Clinton by Haudenosaunee Artists at the 5th Iroquois Biennial Art Exhibition, curated by Peter Jemison, at the Fenimore Museum in Cooperstown, NY (ended 12/31/05)",,111,gallery_item,,,,
obj112,,,West Wall,photo,4/30/06,photo,,"View of the west wall of the exhibition, with images and installations by Rick Hill and participating artists. (Courtesy of The Fenimore Museum)","Searing visions of Sullivan/Clinton by Haudenosaunee Artists at the 5th Iroquois Biennial Art Exhibition, curated by Peter Jemison, at the Fenimore Museum in Cooperstown, NY (ended 12/31/05)",,112,gallery_item,,,,
obj113,,,From the 5th Iroquois Biennial,photo,4/30/06,photo,,"Searing visions of Sullivan/Clinton by Haudenosaunee Artists at the 5th Iroquois Biennial Art Exhibition, curated by Peter Jemison, at the Fenimore Museum in Cooperstown, NY (ended 12/31/05)","Searing visions of Sullivan/Clinton by Haudenosaunee Artists at the 5th Iroquois Biennial Art Exhibition, curated by Peter Jemison, at the Fenimore Museum in Cooperstown, NY (ended 12/31/05)",,113,gallery_item,,,,
obj114,,,225th Anniversary Fields of Fire Installation at the AICH,photo,6/2/06,photo,,"Fields of Fire: Our recent installation at the American Indian Community House, NYC. Summer 2004-Winter 2005.","Fields of Fire: Our recent installation at the American Indian Community House, NYC. Summer 2004-Winter 2005. Photos by Clint Fisher.",Photos by Clint Fisher,114,gallery_item,,,,
obj115,,,Fields of Fire,photo,6/2/06,photo,,"Fields of Fire: Our recent installation at the American Indian Community House, NYC. Summer 2004-Winter 2005.","Fields of Fire: Our recent installation at the American Indian Community House, NYC. Summer 2004-Winter 2005. Photos by Clint Fisher.",Photos by Clint Fisher,115,gallery_item,,,,
obj116,,,Commander-in- chief,photo,6/2/06,photo,,"Fields of Fire: Our recent installation at the American Indian Community House, NYC. Summer 2004-Winter 2005.","Fields of Fire: Our recent installation at the American Indian Community House, NYC. Summer 2004-Winter 2005. Photos by Clint Fisher.",Photos by Clint Fisher,116,gallery_item,,,,
obj117,,,Bearing Witness,photo,6/2/06,photo,,"Fields of Fire: Our recent installation at the American Indian Community House, NYC. Summer 2004-Winter 2005.","Fields of Fire: Our recent installation at the American Indian Community House, NYC. Summer 2004-Winter 2005. Photos by Clint Fisher.",Photos by Clint Fisher,117,gallery_item,,,,
obj118,,,Fields of Fire 2,photo,6/2/06,photo,,"Fields of Fire: Our recent installation at the American Indian Community House, NYC. Summer 2004-Winter 2005.","Fields of Fire: Our recent installation at the American Indian Community House, NYC. Summer 2004-Winter 2005. Photos by Clint Fisher.",Photos by Clint Fisher,118,gallery_item,,,,
